number_of_inverters,ac_mw,number_of_strings,modules_per_string,dc_mw,dc_ac_ratio,gcr,pitch_m,racking_azimuth,racking_tilt_deg,table_max_height_m,annual_ghi,annual_poa,total_land_area,land_area_units,currency,module_capex_per_mw,bop_capex_per_mw,specific_production,performance_ratio,net_annual_yield_kwh,bep,ppa_price_per_mwh,development_fee_potential,total_capex_per_mw,total_opex_per_mw,total_revenue_per_mw,id
50,220.0,16483,26,269.99154,1.2272342727272727,0.3,,180.0,0,,1713075.0,2174688.7110871067,2492.2296,acres,USD,280000,709388.1655,1826.7961348301242,84.00264946043362,493219501.70883286,36.814549960222124,39.672851459235225,42002275.41591,-1028457.5107173799,-2226656.311800772,6065029.510632334,67d00f10-12
50,220.0,15873,26,259.99974,1.181817,0.3,,180.0,0,,1713075.0,2174688.7110871067,2399.9975999999997,acres,USD,280000,709388.1654999999,1842.1844415330147,84.71025908862715,478967475.830629,36.61472841054659,39.30489317137267,41820483.696942404,-1029829.8679507505,-2241452.567213286,6096215.57381324,67d00f10-07
50,220.0,16483,26,269.99154,1.2272342727272727,0.25,,180.0,0,,1713075.0,2188374.433001666,2990.67552,acres,USD,280000,709388.1655,1846.1908803855117,84.36357382649547,498455918.9292401,37.0095499856698,39.978664038919284,41274566.98285173,-1029129.2727558415,-2309291.596376229,6128744.007365693,67d00f10-11
50,220.0,15873,26,259.99974,1.181817,0.25,,180.0,0,,1713075.0,2188374.433001666,2879.997119999999,acres,USD,280000,709388.1654999999,1862.017722422945,85.08679750333783,484124123.70535785,36.797273181472946,39.5867892256431,41204704.96703832,-1030501.629989212,-2324387.607810813,6161471.304336108,67d00f10-06
50,220.0,17093,26,279.98334,1.2726515454545455,0.3,,180.0,0,,1713075.0,2174688.7110871067,2584.4616,acres,USD,280000,709388.1655000001,1807.625568780978,83.12111795887158,506105044.21669793,37.15528081760828,40.31567361959182,41154290.19032567,-1027183.1044478371,-2209694.481044349,6019299.8495995775,67d00f10-17
50,220.0,16483,26,269.99154,1.2272342727272727,0.35,,180.0,0,,1713075.0,2158254.8899292857,2136.1968,acres,USD,280000,709388.1655,1805.7946034491442,83.66920014291316,487549265.90892375,36.89519415197912,39.87176423285402,41103977.80122711,-1027977.6806899074,-2162913.781908098,5995190.607466361,67d00f10-13
50,220.0,15873,26,259.99974,1.181817,0.35,,180.0,0,,1713075.0,2158254.8899292857,2057.1408,acres,USD,280000,709388.1654999999,1820.7769506841946,84.36338817904179,473401533.7758834,36.70481353201663,39.521430031673766,40879207.378429316,-1029350.037923278,-2177458.6912962673,6025064.025146214,67d00f10-08
50,220.0,15263,26,250.00794,1.1363997272727273,0.3,,180.0,0,,1713075.0,2174688.7110871067,2307.7656,acres,USD,279999.99999999994,709388.1655000001,1852.240804464996,85.1726867860126,463074907.90823644,36.60691075191998,39.310585286428356,40368380.70916553,-1031311.9202522412,-2252687.98445691,6105570.7104172,67d00f10-02
50,220.0,17093,26,279.98334,1.2726515454545455,0.25,,180.0,0,,1713075.0,2188374.433001666,3101.35392,acres,USD,280000,709388.1655000001,1826.6008613861322,83.46838794313139,511417810.0177663,37.35980798754624,40.63916193135236,40324023.98541041,-1027854.8664862984,-2292157.415993833,6082040.373753263,67d00f10-16
50,220.0,17093,26,279.98334,1.2726515454545455,0.35,,180.0,0,,1713075.0,2158254.8899292857,2215.2528,acres,USD,280000,709388.1655000001,1787.035496640069,82.80002074725384,500340167.0478453,37.227626725699636,40.49893086667465,40308732.87431271,-1026703.2744203645,-2146221.6601387416,5950860.988001142,67d00f10-18
50,220.0,15263,26,250.00794,1.1363997272727273,0.25,,180.0,0,,1713075.0,2188374.433001666,2769.3187199999998,acres,USD,279999.99999999994,709388.1655000001,1872.4756905528902,85.56468501528435,468133790.09520555,36.77812802038229,39.57096823805961,39841794.46073736,-1031983.6822907027,-2335816.3300701566,6171874.6143062925,67d00f10-01
50,220.0,17703,26,289.97514,1.3180688181818183,0.3,,180.0,0,,1713075.0,2174688.7110871067,2676.6936,acres,USD,280000,709388.1655,1785.6828284541148,82.112111924353,517803628.1765779,37.59729454206339,41.14808988520922,39515286.190286554,-1025996.5237247463,-2192421.7638176074,5968008.939495237,67d00f10-22
50,220.0,15263,26,250.00794,1.1363997272727273,0.35,,180.0,0,,1713075.0,2158254.8899292857,1978.0848000000003,acres,USD,279999.99999999994,709388.1655000001,1830.4541830159428,84.8117704520024,457628079.56019884,36.705409963076825,39.5425790835964,39411488.949041456,-1030832.0902247684,-2188574.583836355,6033724.044982488,67d00f10-03
50,220.0,16483,26,269.99154,1.2272342727272727,0.39999999999999997,,180.0,0,,1713075.0,2139346.325471231,1869.1722000000002,acres,USD,280000,709388.1655,1783.1519513553328,83.35031734343248,481435941.40043133,37.17353985550971,40.43942263323574,39057725.1542106,-1027617.8081693028,-2110520.2977646287,5919120.221956169,67d00f10-14
50,220.0,15873,26,259.99974,1.181817,0.39999999999999997,,180.0,0,,1713075.0,2139346.325471231,1799.9981999999998,acres,USD,280000,709388.1654999999,1797.7194938606544,84.03125162377219,467406600.9967017,36.9962210115242,40.11454861433663,38800443.02125128,-1028990.1654026738,-2124594.9834570256,5946682.353149363,67d00f10-09
50,220.0,17703,26,289.97514,1.3180688181818183,0.35,,180.0,0,,1713075.0,2158254.8899292857,2294.3088000000002,acres,USD,280000,709388.1655,1765.5286671398808,81.80352910947083,511959422.4279004,37.667663103137876,41.329552288090184,38687867.95374647,-1025516.6936972741,-2128898.3847740637,5899541.750875141,67d00f10-23
50,220.0,17703,26,289.97514,1.3180688181818183,0.25,,180.0,0,,1713075.0,2188374.433001666,3212.03232,acres,USD,280000,709388.1655,1804.1731545044802,82.44353101995442,523165363.06167823,37.80715704957828,41.48003599646809,38606170.03471988,-1026668.285763208,-2274969.3656070246,6030911.2791863065,67d00f10-21
50,220.0,17093,26,279.98334,1.2726515454545455,0.39999999999999997,,180.0,0,,1713075.0,2139346.325471231,1938.3462000000002,acres,USD,280000,709388.1655000001,1764.8430805924738,82.49450122124261,494126660.28016996,37.501237051004686,41.0590903005172,38257924.45154844,-1026343.4018997602,-2093971.477822983,5875629.533150726,67d00f10-19
50,220.0,15263,26,250.00794,1.1363997272727273,0.39999999999999997,,180.0,0,,1713075.0,2139346.325471231,1730.8242,acres,USD,279999.99999999994,709388.1655000001,1807.0441675176128,84.46711717512953,451775389.8100932,36.99985372260142,40.1395944473992,37392754.10397349,-1030472.2177041641,-2135809.1326947445,5955645.311406434,67d00f10-04
50,220.0,18313,26,299.96693999999997,1.3634860909090907,0.3,,180.0,0,,1713075.0,2174688.7110871067,2768.9256,acres,USD,280000,709388.1655,1761.3366295525652,80.99258622959833,528342759.07679653,38.13859215353127,42.168313699028666,37066120.016562425,-1024888.9922280072,-2174566.294270664,5910441.041971541,67d00f10-27
50,220.0,17703,26,289.97514,1.3180688181818183,0.39999999999999997,,180.0,0,,1713075.0,2139346.325471231,2007.5202000000002,acres,USD,280000,709388.1655,1743.7673363661395,81.50935244119685,505649177.49019843,37.937446345691534,41.88416328195062,36641455.74861057,-1025156.8211766696,-2076781.9676507828,5825115.372418829,67d00f10-24
50,220.0,18313,26,299.96693999999997,1.3634860909090907,0.35,,180.0,0,,1713075.0,2158254.8899292857,2373.3648000000003,acres,USD,280000,709388.1655,1741.570753689066,80.69346960896392,522413649.77760273,38.1998944781935,42.33242475306297,36320998.99669555,-1024409.1622005344,-2111418.5571578112,5843856.634690687,67d00f10-28
50,220.0,16483,26,269.99154,1.2272342727272727,0.45,,180.0,0,,1713075.0,2117136.3178770193,1661.4864,acres,USD,280000,709388.1655,1759.3156642471404,83.0988373016676,475000345.53620833,37.60035856061051,41.28173268468102,36202555.67631831,-1027337.907319944,-2065523.1524291653,5838113.27877233,67d00f10-15
50,220.0,18313,26,299.96693999999997,1.3634860909090907,0.25,,180.0,0,,1713075.0,2188374.433001666,3322.7107199999996,acres,USD,280000,709388.1655,1779.4765677930443,81.31499532062435,533784140.842582,38.36306096701133,42.5293646317679,35999199.76720155,-1025560.7542664686,-2256570.1086277114,5970731.816454732,67d00f10-26
50,220.0,15873,26,259.99974,1.181817,0.45,,180.0,0,,1713075.0,2117136.3178770193,1599.9983999999997,acres,USD,280000,709388.1654999999,1773.4607550692128,83.76696106406456,461099335.21819896,37.429875697651084,40.968941880177596,35980359.79685776,-1028710.2645533147,-2079391.7817427167,5864562.885677122,67d00f10-10
50,220.0,17093,26,279.98334,1.2726515454545455,0.45,,180.0,0,,1713075.0,2117136.3178770193,1722.9743999999998,acres,USD,280000,709388.1655000001,1741.453568924153,82.255145982778,487577986.68230456,37.92255562142098,41.89242036946113,35381496.178428166,-1026063.5010504014,-2049195.0250792939,5795815.08956057,67d00f10-20
50,220.0,15263,26,250.00794,1.1363997272727273,0.45,,180.0,0,,1713075.0,2117136.3178770193,1538.5104000000001,acres,USD,279999.99999999994,709388.1655000001,1782.4544720679278,84.19176682280444,445627770.7054901,37.439021717161616,41.00302217303968,34643646.370928474,-1030192.3168548052,-2090563.1855481328,5873198.531672894,67d00f10-05
50,220.0,18313,26,299.96693999999997,1.3634860909090907,0.39999999999999997,,180.0,0,,1713075.0,2139346.325471231,2076.6942,acres,USD,280000,709388.1655,1720.307180824751,80.4127485270914,516035280.8920272,38.46125816539212,42.8720905455774,34324652.654144935,-1024049.2896799301,-2059680.319248546,5771357.818940066,67d00f10-29
50,220.0,17703,26,289.97514,1.3180688181818183,0.45,,180.0,0,,1713075.0,2117136.3178770193,1784.4624,acres,USD,280000,709388.1655,1720.838118269044,81.28140374043711,499000274.2624026,38.35409249380372,42.71014532572013,33756572.19115497,-1024876.9203273103,-2032271.577197203,5746696.855355234,67d00f10-25
50,220.0,18313,26,299.96693999999997,1.3634860909090907,0.45,,180.0,0,,1713075.0,2117136.3178770193,1845.9503999999997,acres,USD,280000,709388.1655,1697.9519994966834,80.20040963632056,509329465.5559015,38.870699699428975,43.686576038398215,31461071.374719117,-1023769.3888305711,-2015455.7522553373,5694492.307668898,67d00f10-30
