number_of_inverters,ac_mw,number_of_strings,modules_per_string,dc_mw,dc_ac_ratio,gcr,pitch_m,racking_azimuth,racking_tilt_deg,table_max_height_m,annual_ghi,annual_poa,total_land_area,land_area_units,currency,module_capex_per_mw,bop_capex_per_mw,specific_production,performance_ratio,net_annual_yield_kwh,bep,ppa_price_per_mwh,development_fee_potential,total_capex_per_mw,total_opex_per_mw,total_revenue_per_mw,id
92,386.4,30174,27,472.52484,1.2228903726708076,0.25,,0.0,0,,1961161.0,2607283.4378896737,3144.6830820125097,hectares,AUD,195125,960302.0403030476,2112.3321010166796,81.01658877281076,998129388.0597703,57.85611767072441,,-27282392.986111976,-1332540.676832499,-1285244.09938157,5601551.156776179,67d31479-11
92,386.4,29057,27,455.03261999999995,1.177620652173913,0.25,,0.0,0,,1961161.0,2607283.4378896737,3028.2712372916244,hectares,AUD,195125,963380.0314006445,2137.7929715125238,81.9931174511217,972765536.8449291,57.95515949326482,,-28067691.15450201,-1340927.8089401065,-1317983.2175170602,5631970.226857734,67d31479-06
92,386.4,31291,27,490.01705999999996,1.2681600931677017,0.25,,0.0,0,,1961161.0,2607283.4378896737,3261.094926733394,hectares,AUD,195124.99999999997,957443.8003195738,2084.042594254019,79.93157030678782,1021216424.9511273,57.91987375118057,,-28494157.673734225,-1324752.338407688,-1254842.3686710482,5556097.067523725,67d31479-16
92,386.4,27940,27,437.5404,1.1323509316770186,0.25,,0.0,0,,1961161.0,2607283.4378896737,2911.8593925707405,hectares,AUD,195124.99999999997,966704.1295888654,2158.9369799790297,82.80407678754199,944622149.7948166,58.222826181562816,,-30636750.445088632,-1349985.551395903,-1353340.0589852165,5652276.2229075385,67d31479-01
92,386.4,32408,27,507.50928,1.3134298136645963,0.25,,0.0,0,,1961161.0,2607283.4378896737,3377.5067714542793,hectares,AUD,195124.99999999997,954782.5890982291,2053.6914100436516,78.76747806544202,1042267448.8534383,58.0848009168404,,-31085827.69767333,-1317500.8781623708,-1226536.3386025685,5504136.693224261,67d31479-21
92,386.4,33525,27,525.0015,1.3586995341614907,0.25,,0.0,0,,1961161.0,2607283.4378896737,3493.918616175163,hectares,AUD,195124.99999999997,952298.7125784055,2021.6216185582994,77.53747019520796,1061354382.1755348,58.35782506027668,,-35223910.10784022,-1310732.632299993,-1200116.5328792934,5443448.401988068,67d31479-26
92,386.4,30174,27,472.52484,1.2228903726708076,0.3,,0.0,0,,1961161.0,2587251.778889795,2620.569235010425,hectares,AUD,195125,960302.0403030476,2089.121913468755,80.74675725472723,987161997.9023172,58.505750403212005,,-35540750.33678467,-1332540.676832499,-1285244.09938157,5535828.135413435,67d31479-12
92,386.4,29057,27,455.03261999999995,1.177620652173913,0.3,,0.0,0,,1961161.0,2587251.778889795,2523.5593644096875,hectares,AUD,195125,963380.0314006445,2114.1393629037057,81.71370796432095,962002373.347204,58.608353087850766,,-36114992.87574918,-1340927.8089401065,-1317983.2175170602,5565788.030185387,67d31479-07
92,386.4,31291,27,490.01705999999996,1.2681600931677017,0.3,,0.0,0,,1961161.0,2587251.778889795,2717.579105611162,hectares,AUD,195124.99999999997,957443.8003195738,2061.1951704341404,79.66735929035138,1010020797.5023363,58.56413081396591,,-36895430.91575978,-1324752.338407688,-1254842.3686710482,5491870.214722959,67d31479-17
92,386.4,27940,27,437.5404,1.1323509316770186,0.3,,0.0,0,,1961161.0,2587251.778889795,2426.5494938089505,hectares,AUD,195124.99999999997,966704.1295888654,2134.7260654774927,82.50940565179616,934028896.5794482,58.88760004059535,,-38509105.04349575,-1349985.551395903,-1353340.0589852165,5585198.032812727,67d31479-02
