number_of_inverters,ac_mw,number_of_strings,modules_per_string,dc_mw,dc_ac_ratio,gcr,pitch_m,racking_azimuth,racking_tilt_deg,table_max_height_m,annual_ghi,annual_poa,total_land_area,land_area_units,currency,module_capex_per_mw,bop_capex_per_mw,specific_production,performance_ratio,net_annual_yield_kwh,bep,ppa_price_per_mwh,development_fee_potential,total_capex_per_mw,total_opex_per_mw,total_revenue_per_mw,id
118,495.59999999999997,35230,27,584.99415,1.1803756053268766,0.25,,0.0,0,,1974097.0,2625548.340752429,1749.3010253333332,hectares,AUD,186840.13094900176,1028613.267393664,2151.1041168937195,81.92970906326016,1258383324.423742,63.15197627346846,,-103329467.44961226,-1443239.8679323443,-2047578.7318437414,6344225.507856867,67d31481-06
118,495.59999999999997,36585,27,607.493925,1.2257746670702179,0.25,,0.0,0,,1974097.0,2625548.340752429,1816.5818339999998,hectares,AUD,186840.14609034974,1025499.7579757652,2125.7151156764426,80.96271101476866,1291359019.0541112,63.084935209310906,,-104183916.36029077,-1433209.7768032746,-1995507.9991115693,6282080.633593851,67d31481-11
118,495.59999999999997,33875,27,562.494375,1.134976543583535,0.25,,0.0,0,,1974097.0,2625548.340752429,1682.0202166666666,hectares,AUD,186840.11459634593,1031975.8575649945,2172.7303499966247,82.75339350156334,1222148600.2648826,63.391193113574595,,-104725805.69729248,-1454072.36635174,-2103815.1231944873,6396270.683543264,67d31481-01
118,495.59999999999997,37940,27,629.9937,1.2711737288135594,0.25,,0.0,0,,1974097.0,2625548.340752429,1883.8626426666665,hectares,AUD,186840.16015017295,1022608.6420877164,2097.6198226833826,79.89263766829932,1321487273.2856483,63.15704228389722,,-107180014.46648371,-1423896.1207548531,-1947156.604431695,6211317.722803564,67d31481-16
118,495.59999999999997,35230,27,584.99415,1.1803756053268766,0.3,,0.0,0,,1974097.0,2604771.2932652486,1457.7508544444445,hectares,AUD,186840.13094900176,1028613.267393664,2126.7980789683406,81.6500889912013,1244164434.4277172,63.566463951570874,,-110259052.78034624,-1443239.8679323443,-2015814.5918468814,6268555.886680284,67d31481-07
118,495.59999999999997,36585,27,607.493925,1.2257746670702179,0.3,,0.0,0,,1974097.0,2604771.2932652486,1513.818195,hectares,AUD,186840.14609034974,1025499.7579757652,2101.8075682467756,80.69067613272199,1276835329.2289393,63.49161917060168,,-111213157.83391398,-1433209.7768032746,-1963743.8591147098,6207438.486979432,67d31481-12
118,495.59999999999997,33875,27,562.494375,1.134976543583535,0.3,,0.0,0,,1974097.0,2604771.2932652486,1401.683513888889,hectares,AUD,186840.11459634593,1031975.8575649945,2147.9365295453613,82.46161707551623,1208202215.726287,63.818702112368044,,-111573552.58190334,-1454072.36635174,-2072050.9831976274,6319376.2364304485,67d31481-02
118,495.59999999999997,39295,27,652.493475,1.3165727905569007,0.25,,0.0,0,,1974097.0,2625548.340752429,1951.1434513333334,hectares,AUD,186840.17324035306,1019916.9135022917,2066.898042867895,78.72252857761379,1348637486.461572,63.365482670662374,,-112572366.92876118,-1415224.7858132182,-1902139.788695261,6130956.213291694,67d31481-21
118,495.59999999999997,37940,27,629.9937,1.2711737288135594,0.3,,0.0,0,,1974097.0,2604771.2932652486,1569.8855355555554,hectares,AUD,186840.16015017295,1022608.6420877164,2074.113109946195,79.6274557888789,1306678192.3535101,63.557791687822444,,-114281678.26424846,-1423896.1207548531,-1915392.4644348354,6137823.633991444,67d31481-17
118,495.59999999999997,39295,27,652.493475,1.3165727905569007,0.3,,0.0,0,,1974097.0,2604771.2932652486,1625.9528761111114,hectares,AUD,186840.17324035306,1019916.9135022917,2043.7928653222095,78.46342865519618,1333561508.8742955,63.76212558084905,,-119719188.57275695,-1415224.7858132182,-1870375.6486984016,6058711.056877205,67d31481-22
