number_of_inverters,ac_mw,number_of_strings,modules_per_string,dc_mw,dc_ac_ratio,gcr,pitch_m,racking_azimuth,racking_tilt_deg,table_max_height_m,annual_ghi,total_land_area,land_area_units,currency,module_capex_per_mw,bop_capex_per_mw,specific_production,net_annual_yield_kwh,bep,ppa_price_per_mwh,development_fee_potential,total_capex_per_mw,total_opex_per_mw,total_revenue_per_mw,id
31,112.53,7349,27,125.00649,1.1108725673153825,0.25,,180.0,0,,1779183.0,2769.3745476923077,acres,USD,280000,709388.1655,1967.7884108861058,245986322.3075499,52.502239079580406,,-43681521.398086786,-1058750.3406930442,-1861688.8882691506,4869767.604863409,68402a7f-01
31,112.53,7349,27,125.00649,1.1108725673153825,0.3,,180.0,0,,1779183.0,2307.812123076923,acres,USD,280000,709388.1655,1942.517482925129,242827292.30410528,53.141184422604915,,-44630815.18171354,-1057406.9022315056,-1848943.5035762794,4807731.85834058,68402a7f-02
31,112.53,7643,27,130.00743,1.1553135163956278,0.25,,180.0,0,,1779183.0,2880.1646030769225,acres,USD,280000,709388.1655,1952.9124339935786,253893126.5585498,52.41970128717061,,-44947631.664694734,-1056392.2804993244,-1833350.6351279267,4851587.310578122,68402a7f-06
31,112.53,7349,27,125.00649,1.1108725673153825,0.35,,180.0,0,,1779183.0,1978.1246769230772,acres,USD,280000,709388.1655,1917.2503004920493,239668730.51595634,53.808744183527885,,-45612160.20575528,-1056447.303330407,-1836218.9751796953,4746179.267074795,68402a7f-03
31,112.53,7643,27,130.00743,1.1553135163956278,0.3,,180.0,0,,1779183.0,2400.137169230769,acres,USD,280000,709388.1655,1928.0997944437026,250667299.05915403,53.05164094887696,,-45919998.80345317,-1055048.8420377858,-1820758.4242126155,4790280.962996055,68402a7f-07
31,112.53,7937,27,135.00836999999999,1.199754465475873,0.25,,180.0,0,,1779183.0,2990.954658461538,acres,USD,280000,709388.1655,1933.0630004175546,260979684.79368332,52.50394667135741,,-46506983.28439358,-1054208.9134382624,-1803695.241373217,4818484.660384145,68402a7f-11
31,112.53,7349,27,125.00649,1.1108725673153825,0.39999999999999997,,180.0,0,,1779183.0,1730.8590923076922,acres,USD,280000,709388.1655,1891.1173472053222,236401941.75224864,54.530975619032596,,-46655941.3043546,-1055727.6041545828,-1822957.8002349527,4682311.115781148,68402a7f-04
31,112.53,7643,27,130.00743,1.1553135163956278,0.35,,180.0,0,,1779183.0,2057.260430769231,acres,USD,280000,709388.1655,1903.247552003095,247436322.88971376,53.71157582583561,,-46924916.30097464,-1054089.2431366872,-1808213.6714708952,4729584.446277241,68402a7f-08
31,112.53,7937,27,135.00836999999999,1.199754465475873,0.3,,180.0,0,,1779183.0,2492.4622153846153,acres,USD,280000,709388.1655,1908.7721724230073,257700219.7001891,53.124843255755295,,-47486069.55112544,-1052865.4749767242,-1791486.9738548761,4759006.6146924095,68402a7f-12
31,112.53,7349,27,125.00649,1.1108725673153825,0.45,,180.0,0,,1779183.0,1538.5414153846152,acres,USD,280000,709388.1655,1862.1365852440606,232779158.42194578,55.364003673691286,,-47835040.60783045,-1055167.8381289418,-1808172.2572447546,4611344.0021831365,68402a7f-05
31,112.53,7643,27,130.00743,1.1553135163956278,0.39999999999999997,,180.0,0,,1779183.0,1800.102876923077,acres,USD,280000,709388.1655,1877.5358158258064,244093606.14846644,54.423695768877224,,-47990723.55502595,-1053369.543960863,-1795201.5911869882,4666902.460035191,68402a7f-09
31,112.53,8231,27,140.00931,1.2441954145561183,0.25,,180.0,0,,1779183.0,3101.744713846154,acres,USD,280000,709388.1655,1908.9139142906968,267265719.9892396,52.71975749454136,,-48306401.88636167,-1052181.5201145238,-1774304.391036788,4778918.408934778,68402a7f-16
31,112.53,7937,27,135.00836999999999,1.199754465475873,0.35,,180.0,0,,1779183.0,2136.3961846153848,acres,USD,280000,709388.1655,1884.441471422647,254415371.41717315,53.77565701886876,,-48503465.891974926,-1051905.8760756252,-1779253.3481457885,4699791.655271845,68402a7f-13
31,112.53,7643,27,130.00743,1.1553135163956278,0.45,,180.0,0,,1779183.0,1600.091446153846,acres,USD,280000,709388.1655,1848.9681470396322,240379596.94848466,55.24832154039851,,-49200904.99864589,-1052809.7779352218,-1780597.3768653276,4596798.816287357,68402a7f-10
31,112.53,8231,27,140.00931,1.2441954145561183,0.3,,180.0,0,,1779183.0,2584.7872615384613,acres,USD,280000,709388.1655,1885.1415115492728,263937362.28437072,53.337265496994114,,-49300384.418501064,-1050838.0816529852,-1762290.086524608,4720363.996605717,68402a7f-17
31,112.53,7937,27,135.00836999999999,1.199754465475873,0.39999999999999997,,180.0,0,,1779183.0,1869.3466615384614,acres,USD,280000,709388.1655,1859.242323931026,251013275.5889398,54.48210919202336,,-49590814.9054004,-1051186.1768998012,-1766439.8717338564,4638055.401753488,68402a7f-14
31,112.53,8525,27,145.01024999999998,1.2886363636363636,0.25,,180.0,0,,1779183.0,3212.5347692307682,acres,USD,280000,709388.1655,1881.869755893394,272890403.76954,53.04435945610683,,-50317303.83216324,-1050293.963421208,-1745085.8117419619,4733248.223040956,68402a7f-21
31,112.53,8231,27,140.00931,1.2441954145561183,0.35,,180.0,0,,1779183.0,2215.5319384615386,acres,USD,280000,709388.1655,1861.3130371636928,260601154.02729297,53.98514258192256,,-50335238.706352286,-1049878.4827518861,-1750229.9370203877,4661975.114351187,68402a7f-18
31,112.53,7937,27,135.00836999999999,1.199754465475873,0.45,,180.0,0,,1779183.0,1661.6414769230767,acres,USD,280000,709388.1655,1831.20401563284,247227869.28804424,55.30863211084472,,-50841199.60908509,-1050626.41087416,-1751804.7025205118,4567804.35375954,68402a7f-15
31,112.53,8525,27,145.01024999999998,1.2886363636363636,0.3,,180.0,0,,1779183.0,2677.1123076923072,acres,USD,280000,709388.1655,1858.6155207579893,269518301.3189962,53.6595073258216,,-51323395.3531253,-1048950.5249596694,-1733248.438487478,4675536.340510446,68402a7f-22
31,112.53,8231,27,140.00931,1.2441954145561183,0.39999999999999997,,180.0,0,,1779183.0,1938.5904461538462,acres,USD,280000,709388.1655,1836.6139716823548,257143054.91160604,54.68723112528694,,-51439774.63000625,-1049158.7835760622,-1737625.2528410994,4601233.109559704,68402a7f-19
31,112.53,8525,27,145.01024999999998,1.2886363636363636,0.35,,180.0,0,,1779183.0,2294.667692307692,acres,USD,280000,709388.1655,1835.3124058513508,266139110.80060583,54.309201426839046,,-52379743.535289586,-1047990.9260585706,-1721262.3287756909,4617500.028696075,68402a7f-23
31,112.53,8819,27,150.01119,1.333077312716609,0.25,,180.0,0,,1779183.0,3323.3248246153844,acres,USD,280000,709388.1655000001,1852.540130037891,277901749.42973876,53.47098678797329,,-52535329.65903288,-1048532.2581096442,-1715936.1630031897,4681674.510941621,68402a7f-26
31,112.53,8231,27,140.00931,1.2441954145561183,0.45,,180.0,0,,1779183.0,1723.1915076923076,acres,USD,280000,709388.1655,1809.153363955009,253298314.17151964,55.50333376875562,,-52701162.053791806,-1048599.0175504212,-1723388.3712843843,4532878.669454466,68402a7f-20
31,112.53,8525,27,145.01024999999998,1.2886363636363636,0.39999999999999997,,180.0,0,,1779183.0,2007.8342307692303,acres,USD,280000,709388.1655,1811.1925510629737,262641484.62777954,55.01484924989627,,-53510747.398210645,-1047271.2268827464,-1708692.4231166726,4556923.63590588,68402a7f-24
31,112.53,8819,27,150.01119,1.333077312716609,0.3,,180.0,0,,1779183.0,2769.437353846154,acres,USD,280000,709388.1655000001,1829.713619432139,274477517.4102223,54.09032249752005,,-53559998.479600996,-1047188.8196481057,-1704250.0036936807,4624682.694815754,68402a7f-27
31,112.53,8819,27,150.01119,1.333077312716609,0.35,,180.0,0,,1779183.0,2373.8034461538464,acres,USD,280000,709388.1655000001,1806.8591293868728,271049088.16168875,54.739280445487545,,-54627464.93756435,-1046229.2207470067,-1692508.9314447013,4567813.228062371,68402a7f-28
31,112.53,8525,27,145.01024999999998,1.2886363636363636,0.45,,180.0,0,,1779183.0,1784.741538461538,acres,USD,280000,709388.1655,1784.3575913011646,258750140.40397966,55.835291704300275,,-54803376.08320042,-1046711.4608571054,-1694474.340692076,4488658.715477397,68402a7f-25
31,112.53,8819,27,150.01119,1.333077312716609,0.39999999999999997,,180.0,0,,1779183.0,2077.0780153846154,acres,USD,280000,709388.1655000001,1783.4261356269112,267533876.88249433,55.44155055915428,,-55768221.65263649,-1045509.5215711826,-1680177.4808800993,4508372.335721775,68402a7f-29
31,112.53,8819,27,150.01119,1.333077312716609,0.45,,180.0,0,,1779183.0,1846.291569230769,acres,USD,280000,709388.1655000001,1757.2707379821802,263610274.55688503,56.25347718898944,,-57062718.586241394,-1044949.7555455418,-1666430.580215942,4442351.137962053,68402a7f-30
