number_of_inverters,ac_mw,number_of_strings,modules_per_string,dc_mw,dc_ac_ratio,gcr,pitch_m,racking_azimuth,racking_tilt_deg,table_max_height_m,annual_ghi,annual_poa,total_land_area,land_area_units,currency,module_capex_per_mw,bop_capex_per_mw,specific_production,performance_ratio,net_annual_yield_kwh,bep,ppa_price_per_mwh,development_fee_potential,total_capex_per_mw,total_opex_per_mw,total_revenue_per_mw,id
21,88.2,7870,26,130.9568,1.484770975056689,0.5999999999999999,8.258333333333335,180.0,21.0,2.575713189996963,882746.0,1005805.2085276514,452.0,acres,GBP,160515.15934224112,337157.13005596655,831.3224535382892,82.65243075796168,108867328.28352302,59.36960960897331,,6761675.324233046,-519991.67945212615,-2043572.6632812053,3600138.0358130997,67d021b3-07
21,88.2,8508,26,141.57312,1.6051374149659863,0.6499999999999999,7.623076923076924,180.0,21.0,2.575713189996963,882746.0,1005805.2085276514,452.0,acres,GBP,160515.57823582608,332376.0387792063,804.0260552494047,79.93854559834492,113828477.2029506,59.831827974516436,,6246381.2651182115,-513537.3151490636,-1971711.7570703838,3492021.7633428373,67d021b3-08
21,88.2,7223,26,120.19072,1.3627065759637187,0.5499999999999999,9.00909090909091,180.0,21.0,2.575713189996963,882746.0,1005805.2085276514,452.0,acres,GBP,160515.68778375728,342867.2109513797,853.985898309333,84.90569456877648,102641179.98764552,59.53824068874889,,6216760.406860489,-527701.5474578752,-2116826.3982602004,3685287.313734304,67d021b3-06
21,88.2,9156,26,152.35584,1.7273904761904761,0.7,7.078571428571429,180.0,21.0,2.575713189996963,882746.0,1005805.2085276514,452.0,acres,GBP,160515.26865609485,328202.73457281454,776.310083589762,77.18294526692341,118275374.88578841,60.562333391972736,,5094617.015842939,-507902.53793012595,-1904960.469347458,3380386.8500040113,67d021b3-09
21,88.2,6530,26,108.6592,1.2319637188208616,0.49999999999999994,9.910000000000002,180.0,21.0,2.575713189996963,882746.0,1005805.2085276514,452.0,acres,GBP,160515.11817867242,350239.5705753698,872.8183194857623,86.77806717301037,94839740.34066735,60.4060144565642,,4601530.721615532,-537654.1680380143,-2200531.450637178,3753225.2492203694,67d021b3-05
21,88.2,5909,26,98.32576,1.1148045351473923,0.44999999999999996,11.011111111111113,180.0,21.0,2.575713189996963,882746.0,1005805.2085276514,452.0,acres,GBP,160516.0121386298,358313.53559599444,887.6042424167864,88.2481254711443,87274361.71485476,61.67284144539466,,2688273.9299421106,-548555.9988641451,-2286277.273537623,3806356.7327738972,67d021b3-04
21,88.2,9760,26,162.4064,1.8413424036281179,0.7499999999999999,6.606666666666667,180.0,21.0,2.575713189996963,882746.0,1005805.2085276514,452.0,acres,GBP,160515.08401008215,324811.7313140873,744.1266338786302,73.98317562581728,120850927.75234635,62.072344161879116,,2580003.3075653333,-503324.11037789274,-1835312.3128915909,3240181.1416103076,67d021b3-10
21,88.2,5274,26,87.75936,0.9950040816326531,0.39999999999999997,12.387500000000001,180.0,21.0,2.575713189996963,882746.0,1005805.2085276514,452.0,acres,GBP,160516.1522924733,368536.6724257472,897.0278851326216,89.18505069642029,78722593.10139239,63.834091008134585,,39028.58219318651,-562358.3991824485,-2384434.2432876094,3837414.4684202676,67d021b3-03
21,88.2,10446,26,173.82144,1.97076462585034,0.8,6.19375,180.0,21.0,2.575713189996963,882746.0,1005805.2085276514,452.0,acres,GBP,160515.23547915035,321435.6392637078,713.2213966178654,70.91048948353678,123973170.19892849,63.62573889495435,,-135571.97260926478,-498766.26816850784,-1767286.947463924,3104476.307637604,67d021b3-11
21,88.2,4611,26,76.72704,0.8699210884353742,0.35,14.157142857142858,180.0,21.0,2.575713189996963,882746.0,1005805.2085276514,452.0,acres,GBP,160515.47070595974,382216.17916693026,904.7296192339786,89.95077889468952,69417225.68415025,66.89368331805194,,-2955039.9643081874,-580826.1195593653,-2512695.198039068,3868329.2314981017,67d021b3-02
21,88.2,3938,26,65.52832,0.7429514739229024,0.3,16.51666666666667,180.0,21.0,2.575713189996963,882746.0,1005805.2085276514,452.0,acres,GBP,160516.11454597037,400811.33023917297,907.0017436025437,90.17667992893563,59434300.49534543,71.64128367157026,,-6517797.467111459,-605932.2187120959,-2677058.411753867,3875382.938146912,67d021b3-01
